time	theta_1	theta_2	theta_3	phi	psi	theta_1_dot	theta_2_dot	theta_3_dot	phi_dot	psi_dot	motor_1_mode	motor_1_theta	motor_1_angvel	motor_1_torque_limit	motor_1_torque	motor_2_mode	motor_2_theta	motor_2_angvel	motor_2_torque_limit	motor_2_torque	motor_3_mode	motor_3_theta	motor_3_angvel	motor_3_torque_limit	motor_3_torque
33	0.757786509216	1.54778661498	0.0107378655152	0	0	-0.322536845769	-0.0	0.0921533845053	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
57	0.742446701337	1.54778661498	0.0153398078789	0	0	-0.506843614779	-0.0	0.0921533845053	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
82	0.722504951094	1.54778661498	0.0122718463031	0	0	-0.783303768295	-0.230383461263	-0.0921533845053	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
107	0.688757373761	1.51557301843	0.0107378655152	0	0	-1.33622407533	-1.19799399857	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
143	0.639669988548	1.46801961401	0.0122718463031	0	0	-1.61268422884	-1.61268422884	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
167	0.567572891518	1.39438853619	0.0107378655152	0	0	-1.79699099785	-1.79699099785	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
192	0.520019487093	1.34376717019	0.0107378655152	0	0	-1.70483761335	-1.70483761335	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
217	0.470932101881	1.29314580419	0.0107378655152	0	0	-1.6587609211	-1.70483761335	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
244	0.421844716669	1.2409904574	0.0107378655152	0	0	-1.70483761335	-1.70483761335	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
273	0.36968936988	1.1903690914	0.0107378655152	0	0	-1.6587609211	-1.6587609211	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
297	0.316000042304	1.13514578304	0.0107378655152	0	0	-1.70483761335	-1.70483761335	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
321	0.269980618668	1.09066034019	0.0107378655152	0	0	-1.6587609211	-1.70483761335	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
346	0.225495175819	1.04003897419	0.0107378655152	0	0	-1.6587609211	-1.70483761335	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
371	0.176407790607	0.990951588974	0.0107378655152	0	0	-1.70483761335	-1.70483761335	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
396	0.131922347758	0.94339818455	0.0107378655152	0	0	-1.6587609211	-1.7509143056	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
421	0.0828349625458	0.891242837762	0.0107378655152	0	0	-1.7509143056	-1.6587609211	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
445	0.0383495196971	0.843689433337	0.0107378655152	0	0	-1.61268422884	-1.70483761335	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
